ZONE T="first 0", I=  42, F=POINT
  0.10834   1.15555
  0.15272   1.15317
  0.19700   1.14935
  0.24114   1.14412
  0.28509   1.13752
  0.32882   1.12957
  0.37228   1.12031
  0.41546   1.10978
  0.45833   1.09802
  0.50085   1.08509
  0.54301   1.07103
  0.60556   1.04796
  0.66726   1.02271
  0.72812   0.99551
  0.78822   0.96664
  0.87712   0.92086
  0.96502   0.87318
  1.05264   0.82499
  1.14086   0.77790
  1.23055   0.73367
  1.29149   0.70665
  1.35346   0.68205
  1.41644   0.66019
  1.48034   0.64120
  1.54503   0.62510
  1.61036   0.61179
  1.67616   0.60109
  1.74231   0.59278
  1.80869   0.58664
  1.87523   0.58244
  1.97518   0.57933
  2.07518   0.57950
  2.17513   0.58245
  2.27499   0.58776
  2.37472   0.59511
  2.47431   0.60422
  2.57374   0.61489
  2.67301   0.62693
  2.77212   0.64020
  2.87109   0.65456
  2.96990   0.66993
  3.06857   0.68620
  3.16709   0.70331
  3.26548   0.72118
  3.36374   0.73976
  3.46187   0.75899
  3.55989   0.77884
  3.65778   0.79926
  3.75556   0.82021
  3.85323   0.84167
  3.95080   0.86360
  4.04826   0.88598
  4.14562   0.90878
  4.24290   0.93198
  4.34007   0.95557
  4.43716   0.97952
  4.53417   1.00381
  4.63109   1.02844
  4.72793   1.05337
  4.82469   1.07862
  4.92138   1.10415
ZONE T="4     5", I= 128, F=POINT
 -4.25544  -2.76796
 -4.17073  -2.71481
 -4.08619  -2.66141
 -4.00181  -2.60774
 -3.91761  -2.55379
 -3.83361  -2.49954
 -3.74980  -2.44499
 -3.66620  -2.39011
 -3.58282  -2.33490
 -3.49968  -2.27933
 -3.41679  -2.22340
 -3.33417  -2.16706
 -3.25183  -2.11032
 -3.16979  -2.05313
 -3.08808  -1.99548
 -3.00672  -1.93734
 -2.92575  -1.87866
 -2.84518  -1.81943
 -2.76506  -1.75958
 -2.68543  -1.69909
 -2.60634  -1.63790
 -2.52784  -1.57595
 -2.45000  -1.51317
 -2.37291  -1.44948
 -2.29664  -1.38480
 -2.22132  -1.31903
 -2.14707  -1.25203
 -2.07408  -1.18368
 -2.00254  -1.11382
 -1.93270  -1.04224
 -1.86488  -0.96875
 -1.79947  -0.89311
 -1.73693  -0.81508
 -1.67779  -0.73444
 -1.64053  -0.67916
 -1.60520  -0.62263
 -1.57190  -0.56487
 -1.54073  -0.50594
 -1.51168  -0.44594
 -1.48466  -0.38499
 -1.45948  -0.32326
 -1.42458  -0.22955
 -1.39193  -0.13503
 -1.36012  -0.04022
 -1.32777   0.05440
 -1.29363   0.14839
 -1.25666   0.24131
 -1.21605   0.33269
 -1.18663   0.39251
 -1.15517   0.45129
 -1.12157   0.50887
 -1.08575   0.56510
 -1.04766   0.61981
 -1.00729   0.67286
 -0.96463   0.72409
 -0.91970   0.77335
 -0.87256   0.82049
 -0.82327   0.86537
 -0.77190   0.90786
 -0.71854   0.94783
 -0.66330   0.98516
 -0.60631   1.01975
 -0.54768   1.05148
 -0.48756   1.08029
 -0.42609   1.10609
 -0.36342   1.12883
 -0.29971   1.14845
 -0.23511   1.16492
 -0.16978   1.17822
 -0.10389   1.18834
 -0.03758   1.19530
  0.02897   1.19912
  0.09564   1.19985
  0.16226   1.19754
  0.22872   1.19227
  0.29489   1.18413
  0.36066   1.17324
  0.42594   1.15972
  0.49066   1.14373
  0.55477   1.12544
  0.61824   1.10503
  0.68106   1.08273
  0.77417   1.04624
  0.86612   1.00693
  0.95730   0.96586
  1.04822   0.92425
  1.13950   0.88340
  1.23172   0.84472
  1.32531   0.80950
  1.38858   0.78849
  1.45254   0.76969
  1.51714   0.75321
  1.58229   0.73909
  1.64790   0.72726
  1.71387   0.71762
  1.78010   0.71005
  1.84653   0.70437
  1.94639   0.69908
  2.04637   0.69719
  2.14636   0.69823
  2.24630   0.70182
  2.34613   0.70760
  2.44583   0.71532
  2.54539   0.72472
  2.64479   0.73563
  2.74404   0.74788
  2.84313   0.76132
  2.94207   0.77585
  3.04086   0.79137
  3.13950   0.80779
  3.23801   0.82503
  3.33637   0.84304
  3.43461   0.86174
  3.53271   0.88111
  3.63070   0.90108
  3.72857   0.92162
  3.82632   0.94270
  3.92397   0.96428
  4.02150   0.98633
  4.11894   1.00882
  4.21628   1.03174
  4.31352   1.05506
  4.41067   1.07876
  4.50773   1.10283
  4.60471   1.12723
  4.70160   1.15197
  4.79841   1.17701
  4.89515   1.20236
ZONE T="5     6", I= 121, F=POINT
 -4.30995  -2.68230
 -4.22533  -2.62901
 -4.14088  -2.57546
 -4.05660  -2.52163
 -3.97251  -2.46751
 -3.88862  -2.41308
 -3.80494  -2.35834
 -3.72147  -2.30326
 -3.63824  -2.24783
 -3.55525  -2.19203
 -3.47253  -2.13585
 -3.39008  -2.07925
 -3.30794  -2.02223
 -3.22612  -1.96474
 -3.14464  -1.90676
 -3.06353  -1.84827
 -2.98283  -1.78922
 -2.90256  -1.72957
 -2.82277  -1.66929
 -2.74350  -1.60833
 -2.66481  -1.54662
 -2.58676  -1.48412
